date,city,market,item,item_source_label,food_group,unit,price_average_cop_per_kg,price_change_pct_from_previous_market_day,source_url,extraction_method,review_flag
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Banano,Banano*,Fruit,COP per kg,2275.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Coco,Coco,Fruit,COP per kg,11601.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Granadilla,Granadilla,Fruit,COP per kg,8837.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Guayaba,Guayaba*,Fruit,COP per kg,2375.0,-0.06,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Limón Tahití,Limón Tahití,Fruit,COP per kg,2375.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Limón común,Limón común,Fruit,COP per kg,1268.0,-0.05,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Lulo,Lulo,Fruit,COP per kg,5450.0,0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Mandarina,Mandarina*,Fruit,COP per kg,4050.0,0.11,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Mango tommy,Mango tommy,Fruit,COP per kg,2950.0,0.17,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Manzana royal gala,Manzana royal gala,Fruit,COP per kg,7829.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Maracuyá,Maracuyá,Fruit,COP per kg,3075.0,-0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Mora de Castilla,Mora de Castilla,Fruit,COP per kg,2900.0,0.05,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Naranja,Naranja*,Fruit,COP per kg,2200.0,0.07,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Papaya maradol,Papaya maradol,Fruit,COP per kg,4950.0,0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Piña,Piña *,Fruit,COP per kg,2725.0,0.09,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Tomate de árbol,Tomate de árbol,Fruit,COP per kg,1725.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Arracacha,Arracacha*,Tubers and plantains,COP per kg,2875.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Papa  criolla,Papa  criolla,Tubers and plantains,COP per kg,1013.0,-0.21,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Papa negra,Papa negra*,Tubers and plantains,COP per kg,2025.0,-0.06,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Plátano guineo,Plátano guineo,Tubers and plantains,COP per kg,1300.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Plátano hartón verde,Plátano hartón verde,Tubers and plantains,COP per kg,1725.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Yuca,Yuca*,Tubers and plantains,COP per kg,1620.0,-0.06,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Ahuyama,Ahuyama,Vegetables,COP per kg,1025.0,0.05,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Arveja verde en vaina,Arveja verde en vaina,Vegetables,COP per kg,5050.0,-0.1,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Cebolla cabezona blanca,Cebolla cabezona blanca,Vegetables,COP per kg,1422.0,-0.06,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Cebolla junca,Cebolla junca,Vegetables,COP per kg,2825.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Chócolo mazorca,Chócolo mazorca,Vegetables,COP per kg,1458.0,-0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Fríjol verde,Fríjol verde*,Vegetables,COP per kg,2375.0,0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Habichuela,Habichuela,Vegetables,COP per kg,1275.0,-0.15,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Lechuga batavia,Lechuga batavia,Vegetables,COP per kg,1396.0,-0.12,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Pepino cohombro,Pepino cohombro,Vegetables,COP per kg,2100.0,-0.13,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Pimentón,Pimentón,Vegetables,COP per kg,4025.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Remolacha,Remolacha,Vegetables,COP per kg,1000.0,-0.09,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Tomate,Tomate*,Vegetables,COP per kg,4275.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Medellín,Central Mayorista de Antioquia (CMA),Zanahoria,Zanahoria,Vegetables,COP per kg,1022.0,-0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Aguacate,Aguacate *,Fruit,COP per kg,7625.0,0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Banano,Banano*,Fruit,COP per kg,2000.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Coco,Coco,Fruit,COP per kg,8100.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Limón común,Limón común,Fruit,COP per kg,1750.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Lulo,Lulo,Fruit,COP per kg,5833.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Mango tommy,Mango tommy,Fruit,COP per kg,1950.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Manzana royal gala,Manzana royal gala,Fruit,COP per kg,8618.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Mora de Castilla,Mora de Castilla,Fruit,COP per kg,4050.0,-0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Naranja,Naranja*,Fruit,COP per kg,1906.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Tomate de árbol,Tomate de árbol,Fruit,COP per kg,1950.0,-0.07,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Papa  criolla,Papa  criolla,Tubers and plantains,COP per kg,2375.0,-0.17,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Papa negra,Papa negra*,Tubers and plantains,COP per kg,2150.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Plátano hartón verde,Plátano hartón verde,Tubers and plantains,COP per kg,1438.0,0.05,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Yuca,Yuca*,Tubers and plantains,COP per kg,875.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Ahuyama,Ahuyama,Vegetables,COP per kg,900.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Cebolla cabezona blanca,Cebolla cabezona blanca,Vegetables,COP per kg,1525.0,0.07,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Cebolla junca,Cebolla junca,Vegetables,COP per kg,1927.0,0.19,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Chócolo mazorca,Chócolo mazorca,Vegetables,COP per kg,1050.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Fríjol verde,Fríjol verde*,Vegetables,COP per kg,4125.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Habichuela,Habichuela,Vegetables,COP per kg,3250.0,-0.21,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Lechuga batavia,Lechuga batavia,Vegetables,COP per kg,2104.0,0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Pepino cohombro,Pepino cohombro,Vegetables,COP per kg,2500.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Pimentón,Pimentón,Vegetables,COP per kg,4750.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Remolacha,Remolacha,Vegetables,COP per kg,1950.0,0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Tomate,Tomate*,Vegetables,COP per kg,4300.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-02-12,Montería,SIPSA Montería (Mercado del Sur in later files),Zanahoria,Zanahoria,Vegetables,COP per kg,1528.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-12feb2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Aguacate,Aguacate *,Fruit,COP per kg,9975.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Banano,Banano*,Fruit,COP per kg,2850.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Coco,Coco,Fruit,COP per kg,8059.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Granadilla,Granadilla,Fruit,COP per kg,8167.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Guayaba,Guayaba*,Fruit,COP per kg,3884.0,-0.07,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Limón Tahití,Limón Tahití,Fruit,COP per kg,1351.0,-0.21,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Limón común,Limón común,Fruit,COP per kg,967.0,0.05,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Lulo,Lulo,Fruit,COP per kg,4200.0,-0.02,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Mandarina,Mandarina*,Fruit,COP per kg,6250.0,-0.09,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Mango Tommy,Mango Tommy,Fruit,COP per kg,3516.0,-0.04,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Manzana royal gala,Manzana royal gala,Fruit,COP per kg,7588.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Maracuyá,Maracuyá,Fruit,COP per kg,3463.0,0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Mora de Castilla,Mora de Castilla,Fruit,COP per kg,4688.0,-0.1,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Naranja,Naranja*,Fruit,COP per kg,1581.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Piña,Piña *,Fruit,COP per kg,1431.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Tomate de árbol,Tomate de árbol,Fruit,COP per kg,2075.0,-0.08,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Arracacha,Arracacha*,Tubers and plantains,COP per kg,583.0,0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Papa  criolla,Papa  criolla,Tubers and plantains,COP per kg,2778.0,0.0,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Papa negra,Papa negra*,Tubers and plantains,COP per kg,1850.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Plátano guineo,Plátano guineo,Tubers and plantains,COP per kg,2863.0,-0.01,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
2025-05-14,Bogotá,Corabastos,Plátano hartón verde,Plátano hartón verde,Tubers and plantains,COP per kg,2656.0,-0.03,https://www.dane.gov.co/files/operaciones/SIPSA/anex-SIPSADiario-14may2025.xlsx,official_xlsx,False
